bench,variant,cycles,instructions,task_ms
sh6bench1,base,5061863111,12601890942,1502.04
sh6bench1,pron,5175116799,12051422378,1528.01
sh6bench1,base,5007903932,12601463011,1478.61
sh6bench1,pron,5173371947,12050799968,1542.45
sh6bench1,base,4928619778,12602232778,1457.63
sh6bench1,pron,5164915301,12050440414,1529.49
sh6bench1,base,4966924959,12600941126,1477.39
sh6bench1,pron,5208098391,12049742882,1539.60
sh6bench1,base,5041147742,12601901927,1497.06
sh6bench1,pron,5151798803,12051041328,1526.98
sh6bench1,base,5088767504,12601758941,1503.23
sh6bench1,pron,5157653849,12050574951,1524.38
sh6bench1,base,5005914095,12601691389,1480.56
sh6bench1,pron,5102136564,12049790174,1508.75
sh6bench1,base,4995136342,12602410178,1476.02
sh6bench1,pron,5198407042,12050575976,1535.47
sh6bench1,base,5017657877,12600643466,1481.73
sh6bench1,pron,5208681176,12050992263,1539.90
sh6bench1,base,4969227458,12600994052,1476.35
sh6bench1,pron,5184571231,12052025416,1546.24
sh6bench1,base,4956722350,12603472176,1467.03
sh6bench1,pron,5195855075,12050150961,1539.24
