mode,variant,cycles,instructions
1_100000000,base,4212221493,11598975511
1_100000000,pron,4060848737,11298584047
1_100000000,sota,4136405050,11316439892
1_100000000,base,4190580549,11599193005
1_100000000,pron,4199826896,11299272409
1_100000000,sota,4104978278,11316630197
1_100000000,base,4197478440,11599071481
1_100000000,pron,4028505623,11297296112
1_100000000,sota,4022568290,11316058426
1_100000000,base,4134452750,11598699548
1_100000000,pron,4083203417,11298592934
1_100000000,sota,4073702514,11316255190
1_100000000,base,4201775005,11599059049
1_100000000,pron,4387870694,11298697435
1_100000000,sota,4131334022,11316069121
1_100000000,base,4156934405,11598714714
1_100000000,pron,3964447869,11298196313
1_100000000,sota,3751250870,11315380414
1_100000000,base,3885828393,11598081598
1_100000000,pron,3725815858,11297846978
1_100000000,sota,3747409201,11315668425
1_100000000,base,3898570798,11598366758
1_100000000,pron,3712492331,11297711494
1_100000000,sota,3740718959,11315394187
1_100000000,base,3904070433,11598171800
1_100000000,pron,3720230919,11297372604
1_100000000,sota,3739533579,11314004699
1_100000000,base,3899119152,11598034373
1_100000000,pron,3709803725,11297206318
1_100000000,sota,3737841752,11315416199
1_100000000,base,3895171601,11598373905
1_100000000,pron,3718743477,11297729457
1_100000000,sota,3759757482,11315925422
1_100000000,base,3892081216,11598389274
1_100000000,pron,3715706165,11297832724
1_100000000,sota,3737035673,11315267989
1_100000000,base,3884835198,11598247750
1_100000000,pron,3708414213,11297527816
1_100000000,sota,3765444347,11315563204
1_100000000,base,3883050146,11597326628
1_100000000,pron,3711560359,11297389427
1_100000000,sota,3751924138,11315388225
1_100000000,base,3889481801,11598213287
1_100000000,pron,3715332353,11297594384
1_100000000,sota,3737469539,11314399726
1_100000000,base,3899218598,11598300520
1_100000000,pron,3709866577,11297472053
1_100000000,sota,3744298756,11315427157
1_100000000,base,3884575323,11598063036
1_100000000,pron,3708391310,11297420188
1_100000000,sota,3782568206,11315578089
1_100000000,base,3894507447,11598179687
1_100000000,pron,3717933167,11297612653
1_100000000,sota,3772240525,11315534109
1_100000000,base,3883849805,11598022997
