bench,variant,internal,cycles,instructions
sh6bench1,base,1.5340,5202557165,12603466349
alloc-test1,base,3451,11697125402,13021211270
sh6bench1,on,1.5265,5181932086,12603858561
alloc-test1,on,3440,11668283104,13020654178
sh6bench1,base,1.5366,5218633117,12603016067
alloc-test1,base,3435,11659387643,13020487802
sh6bench1,on,1.5188,5159140518,12602827833
alloc-test1,on,3445,11676791725,13021266095
sh6bench1,base,1.5316,5187781952,12604197074
alloc-test1,base,3439,11669045048,13021602820
sh6bench1,on,1.5321,5195227371,12603927260
alloc-test1,on,3437,11661266777,13020575418
sh6bench1,base,1.5336,5205349663,12602981576
alloc-test1,base,3437,11665742767,13021376644
sh6bench1,on,1.5410,5233954661,12602326531
alloc-test1,on,3452,11701830873,13021636470
sh6bench1,base,1.5194,5155194826,12605325203
alloc-test1,base,3443,11682554141,13021801543
sh6bench1,on,1.5236,5173126418,12602983160
alloc-test1,on,3436,11658571353,13020390310
sh6bench1,base,1.5450,5241132444,12604333167
alloc-test1,base,3443,11668361386,13020808842
sh6bench1,on,1.5227,5160447403,12603194668
alloc-test1,on,3440,11668684827,13020856865
sh6bench1,base,1.5434,5226381445,12603120530
alloc-test1,base,3448,11679882188,13021891710
sh6bench1,on,1.5425,5229908357,12603683519
alloc-test1,on,3437,11660498149,13020533238
sh6bench1,base,1.5314,5200993261,12602785215
alloc-test1,base,3442,11692642820,13021582043
sh6bench1,on,1.5356,5216456197,12602843681
alloc-test1,on,3444,11673837667,13021786991
sh6bench1,base,1.5462,5241226434,12603719587
alloc-test1,base,3442,11678632969,13020645959
sh6bench1,on,1.5230,5172782637,12603209391
alloc-test1,on,3436,11651823436,13020621158
sh6bench1,base,1.5530,5276522632,12603498166
alloc-test1,base,3433,11645946203,13020484531
sh6bench1,on,1.5241,5175734386,12602280138
alloc-test1,on,3432,11642311681,13021821862
sh6bench1,base,1.5498,5262913781,12603664355
alloc-test1,base,3442,11672563284,13020859979
sh6bench1,on,1.5022,5103440545,12602272277
alloc-test1,on,3439,11666382071,13021589633
sh6bench1,base,1.5237,5173015845,12603996902
alloc-test1,base,3481,11810157611,13023992388
sh6bench1,on,1.5235,5169368329,12603940509
alloc-test1,on,3477,11798564255,13022744178
sh6bench1,base,1.5276,5181278928,12604481811
alloc-test1,base,3442,11677027747,13021009583
sh6bench1,on,1.5437,5231156090,12601716861
alloc-test1,on,3446,11695165139,13020869450
sh6bench1,base,1.5327,5202927982,12602172197
alloc-test1,base,3438,11685684817,13021542386
sh6bench1,on,1.5396,5227138260,12604268658
alloc-test1,on,3447,11696037299,13024826546
sh6bench1,base,1.5421,5231567515,12603842927
alloc-test1,base,3466,11743338536,13021776977
sh6bench1,on,1.5377,5221374647,12602956524
alloc-test1,on,3446,11687364787,13021665740
sh6bench1,base,1.5242,5175873857,12602847997
alloc-test1,base,3432,11666494455,13021887036
sh6bench1,on,1.5287,5195365687,12604429199
alloc-test1,on,3434,11660941711,13020774001
sh6bench1,base,1.5291,5182084042,12602988399
alloc-test1,base,3448,11682256607,13021115106
sh6bench1,on,1.5391,5223783656,12602949593
alloc-test1,on,3435,11664873480,13020699013
sh6bench1,base,1.5284,5190551215,12602794853
alloc-test1,base,3444,11678672727,13021137706
sh6bench1,on,1.5211,5165540762,12602902099
alloc-test1,on,3449,11673903948,13022159170
sh6bench1,base,1.5389,5223141106,12602247868
alloc-test1,base,3450,11682043677,13021466722
sh6bench1,on,1.5324,5197981043,12604070906
alloc-test1,on,3442,11660481517,13020772124
sh6bench1,base,1.5291,5189501809,12601080690
alloc-test1,base,3431,11655138675,13020464319
sh6bench1,on,1.5348,5214072341,12604103231
alloc-test1,on,3432,11657720892,13021227861
sh6bench1,base,1.5377,5206250690,12603747230
alloc-test1,base,3452,11683695629,13021659431
sh6bench1,on,1.5371,5215684237,12604284031
alloc-test1,on,3443,11677914746,13021184173
